ClinicID,OnlineAppointmentUse,malepct,unemp,age16to24,age25to34,age35to44,age45to54,age55to64,age65to74,age75to84,age85plus,phoneeasy,onlineasy,race,longstdhealth,canmngownhealth,reducedability,prefgpalways,bcaaware,vendor,numpats
11,0.104833531,0.446144608,0.010751624,0.117331266,0.230236721,0.078690693,0.168141556,0.118180055,0.13117503,0.111228992,0.045015688,0.936430306,0.807815715,0.944725427,0.563289499,0.896438122,0.643299074,0.847983997,0.386106585,TPP,3815
12,0.099941851,0.46763115,0.049564872,0.0923388,0.200700122,0.164100762,0.199065619,0.170480461,0.088701345,0.054633766,0.029979125,0.525179185,0.361157522,0.623551758,0.504162687,0.853085654,0.733550018,0.531984611,0.252320467,TPP,10120
13,0.121150129,0.509462138,0.007516904,0.148110007,0.102844969,0.180960098,0.185260731,0.182957005,0.113495515,0.054612263,0.031759413,0.292662847,0.668573562,0.952021725,0.523121071,0.775416547,0.471095172,0.062605138,0.370535172,TPP,19177
14,0.033101506,0.431925154,0.042541627,0.061803344,0.194285974,0.204595727,0.133666897,0.13236178,0.163821907,0.083873239,0.025591133,0.545228914,0.752962644,0.913254531,0.570984484,0.72036009,0.629669023,0.326670665,0.258061738,TPP,10097
15,0.113252573,0.423696402,0.088309872,0.187020543,0.140467193,0.09117599,0.179269065,0.177399737,0.15154638,0.048767233,0.02435386,0.248537028,0.589510303,0.974647154,0.594417191,0.756444786,0.785708269,0.454011751,0.324502014,TPP,9506
16,0.063869526,0.470785295,0.038311211,0.052215265,0.196117697,0.130425832,0.163676691,0.140549376,0.146356244,0.135471868,0.035187026,0.784548576,0.779702611,0.891702092,0.6172129,0.783728613,0.696292895,0.46423129,0.350667222,TPP,7998
17,0.052683875,0.493692863,0.055058703,0.167737375,0.170472977,0.124658383,0.132655205,0.168153907,0.139086221,0.072221846,0.025014087,0.717351306,0.739680795,0.939347924,0.527642298,0.755983412,0.674050243,0.356065737,0.228687111,EMIS,13604
18,0.102459958,0.520545136,0.011171803,0.074066053,0.07073694,0.171919853,0.175508775,0.2287389,0.164793396,0.088758364,0.025477719,0.413789103,0.798357296,0.939867856,0.605663231,0.793986433,0.72974332,0.17258922,0.436175071,TPP,10366
19,0.110673298,0.53007825,0.156436854,0.147043644,0.182607982,0.178333477,0.180843651,0.154856523,0.094240808,0.053475106,0.008598809,0.765013075,0.592187426,0.803656784,0.563454592,0.70088939,0.746554643,0.4530342,0.250909879,TPP,7761
20,0.142258488,0.469281403,0.023564031,0.070524562,0.181596411,0.175421041,0.208613308,0.13083058,0.135482301,0.071064141,0.026467656,0.487842695,0.897697464,0.866718683,0.551601788,0.744668096,0.809855616,0.295524257,0.510645783,TPP,19393
21,0.148160766,0.467531403,0.028682276,0.099216682,0.084328231,0.145156759,0.17477539,0.225971521,0.149218754,0.11510586,0.006226803,0.792621305,0.887491507,0.938606293,0.543824521,0.895244042,0.46108932,0.565882929,0.468456765,TPP,14803
22,0.067176377,0.621869734,0.072769999,0.07680834,0.274027527,0.1682829,0.126149481,0.162265839,0.110321961,0.061111563,0.021032388,0.910294339,0.745823559,0.603670556,0.573654973,0.664714065,0.656965383,0.577820384,0.19402593,TPP,6399
23,0.186073089,0.501602238,0.005118938,0.16361882,0.131198475,0.156123367,0.149294039,0.195410443,0.104034921,0.072470538,0.027849396,0.720684594,0.846820468,0.822465824,0.509912068,0.834570417,0.68532196,0.662322249,0.528112758,TPP,13857
24,0.032125655,0.506338479,0.029806725,0.146673484,0.129888688,0.135034998,0.171180496,0.157626752,0.132136791,0.097636553,0.029822239,0.500772401,0.803461725,0.897672027,0.600837849,0.876935301,0.611896054,0.13442126,0.341317949,TPP,12797
25,0.143506996,0.502326786,0.076430917,0.237443327,0.105541908,0.087401544,0.172688991,0.124173762,0.151229537,0.086711426,0.034809504,0.884252728,0.962477591,0.977336912,0.604121359,0.888287233,0.542305777,0.556334282,0.512989919,TPP,10842
26,0.171410975,0.443104321,0.037448316,0.076877553,0.164637904,0.223370233,0.180974777,0.188265743,0.110389892,0.042904639,0.012579258,0.720313762,0.862070752,0.885342685,0.538061415,0.86817385,0.553322715,0.474895832,0.538673212,TPP,22042
27,0.077152569,0.454670883,0.040917763,0.121475947,0.210705232,0.153445988,0.139245647,0.171653151,0.107287792,0.079500518,0.016685726,0.36661462,0.777045773,0.827454155,0.545052125,0.855655007,0.814963084,0.267537994,0.589229877,EMIS,10328
28,0.111010674,0.455194701,0.066817611,0.062331663,0.153535298,0.199535918,0.159954881,0.170178465,0.128486426,0.088457353,0.037519995,0.436206689,0.824865024,0.993984812,0.644723719,0.698996269,0.702649956,0.299210943,0.339956512,TPP,17626
29,0.150544392,0.544255367,0.084309584,0.030647539,0.271533864,0.198548441,0.157242599,0.160686094,0.120682121,0.056459357,-98,0.691105141,0.614865751,0.64742769,0.554281029,0.702198201,0.648327868,0.244281793,0.408135365,TPP,6879
30,0.0982811,0.48042816,0.058193679,0.154425817,0.226837482,0.175374858,0.095433186,0.19157324,0.100297337,0.045111274,0.010946806,0.497004969,0.886530044,0.498293431,0.360634057,0.860841406,0.565426631,0.683290982,0.1727075,TPP,3685
31,0.189224966,0.467996702,0.070305252,0.047351701,0.330651142,0.166441365,0.150499273,0.079272603,0.145513413,0.05500429,0.025266213,0.85034285,0.896574777,0.968093814,0.575051708,0.849943777,0.531032807,0.479142847,0.389598302,EMIS,10452
32,0.024139076,0.53215396,0.075342293,0.069716093,0.109620151,0.081998482,0.235581783,0.259750985,0.151062518,0.07411511,0.018154878,0.834827436,0.836666978,0.98890202,0.61443731,0.921741247,0.6337012,0.722244121,0.164347399,EMIS,8537
33,0.106109963,0.434770874,0.024625964,0.022176671,0.260088842,0.08497501,0.1385202,0.219624653,0.154272722,0.082155864,0.038186037,0.578277409,0.973707959,0.993456378,0.526874093,0.80828666,0.729197932,0.53840753,0.343098073,TPP,9254
34,0.147616108,0.603220455,0.099369995,0.144688628,0.090688694,0.132229461,0.168063534,0.166768571,0.196804791,0.070517315,0.030239006,0.741488647,0.739267242,0.933358016,0.629851854,0.792194411,0.565515828,0.447413706,0.299642549,TPP,14030
35,0.118800393,0.499412047,0.11454941,0.065836452,0.131963913,0.165777191,0.124660331,0.195172117,0.174926628,0.112487246,0.029176122,0.531613994,0.824786298,0.99210626,0.608961465,0.852211026,0.685837849,0.169879191,0.374839669,EMIS (I),8551
36,0.140071889,0.470742607,0.133558309,0.160605454,0.120655235,0.188453105,0.12501711,0.17440076,0.121056694,0.077268057,0.032543587,0.263886113,0.609617939,0.967212464,0.504705415,0.82671456,0.710398502,0.090720347,0.426544015,TPP,18827
37,0.013541215,0.498659365,0.096926076,0.110280079,0.145935703,0.111389501,0.212378302,0.180713016,0.107271293,0.09011981,0.041912296,0.440484405,0.726214351,0.981787885,0.491994417,0.803981199,0.689358781,0.271192477,0.32293466,TPP,7293
38,0.144790428,0.474291133,0.039068096,0.132729392,0.102207588,0.142796789,0.17872244,0.195241239,0.137114717,0.079070952,0.032116884,0.351773327,0.674856136,0.92039805,0.646273049,0.688716284,0.680457206,0.145603419,0.407561334,TPP,12449
39,0.055819425,0.456320389,0.025350585,0.070970802,0.023127584,0.099003276,0.199792796,0.185748625,0.250658872,0.135013106,0.035684939,0.50576935,0.746717003,1,0.673208798,0.840027235,0.606553038,0.21399584,0.237013923,TPP,7357
40,0.062215268,0.508873216,0.039435022,0.133903524,0.090060789,0.091750439,0.246517438,0.205799571,0.114389225,0.088243049,0.029335965,0.588888413,0.661411711,0.926960768,0.611104062,0.811924926,0.655247085,0.522228216,0.363540457,TPP,6700
41,0.136228132,0.457674555,0.015890765,0.194838224,0.082197063,0.137081082,0.17780371,0.176300185,0.130556908,0.06753191,0.033690919,0.344053481,0.753134609,0.881377437,0.5991977,0.747424682,0.565610292,0.323280408,0.533794178,TPP,6935
42,0.125257856,0.451535281,0.025816776,0.070660389,0.151585171,0.119485887,0.155641551,0.22422367,0.169419116,0.073272147,0.035712069,0.848772411,0.954165498,1,0.730543077,0.816365137,0.640930504,0.552351019,0.596939577,TPP,8696
43,0.053954551,0.619364591,0.036146233,0.217295186,0.094643043,0.170042606,0.113710987,0.166054119,0.136894268,0.093223646,0.008136144,0.78125983,0.760105807,0.980864512,0.654301617,0.907944867,0.68939481,0.684405805,0.353061654,EMIS,6464
44,0.095691589,0.508750198,0.018066219,0.16124441,0.162950828,0.054302373,0.176205662,0.197892363,0.148178888,0.081198705,0.018026771,0.88280371,0.819259311,0.978113872,0.570025758,0.797197156,0.665325935,0.347858054,0.323634669,TPP,8199
45,0.028817876,0.524617242,0.056328602,0.121518207,0.074744841,0.109848705,0.146408173,0.233014636,0.132134378,0.107000851,0.07533021,1,0.839276469,0.964354939,0.547517832,0.97301424,0.487480405,0.856957867,0.192558083,TPP,2601
46,0.166195887,0.465164304,0.043183948,0.082358401,0.16454888,0.171410476,0.207799225,0.192663901,0.114075858,0.046242703,0.020900557,0.861466692,0.902627555,0.937387682,0.587939593,0.813535215,0.724197612,0.399042926,0.702891313,TPP,9022
47,0.151931441,0.540976104,0.076693717,0.066777927,0.191097796,0.174441872,0.183465221,0.148777023,0.14188928,0.063694726,0.029856154,0.285417524,0.675586036,0.991432108,0.535925836,0.825308479,0.614613421,0.303176469,0.302429776,EMIS,8514
48,0.189544881,0.483463856,0.063759873,0.111601507,0.148879121,0.115060293,0.182663126,0.174045469,0.162079645,0.0767809,0.028889939,0.812414802,0.888270818,0.954251692,0.586333196,0.889584506,0.71613429,0.812207019,0.366553513,TPP,5750
49,0.025331558,0.504722521,0.055521991,0.104403741,0.094079611,0.096074271,0.222912209,0.162441976,0.174061672,0.117857267,0.028169252,0.995017256,1,0.97221725,0.631696145,0.85130551,0.559843029,0.773197084,0.181120258,EMIS,5484
50,0.011525451,0.556534091,0.093277973,0.150353692,0.16115635,0.248860311,0.11779208,0.12704442,0.095601867,0.062694211,0.036497069,0.896262395,0.798810864,0.626946385,0.523862419,0.737055092,0.692712539,0.587382932,0.273373239,TPP,7091
51,0.105023022,0.490548429,0.116114929,0.147571656,0.183936059,0.10933828,0.112818718,0.220060419,0.128884502,0.072495234,0.024895132,0.568734428,0.845708549,0.910051853,0.599068568,0.862397734,0.641799413,0.818043251,0.394923687,TPP,3963
52,0.139510419,0.431496991,0.015034678,0.12214851,0.123070699,0.14872277,0.233683015,0.142848078,0.141497839,0.066064622,0.021964465,0.907470041,0.852969707,0.962892174,0.457872882,0.876962036,0.494582581,0.793656089,0.384587731,EMIS,4555
53,0.122158016,0.403318257,0.075540454,0.114243935,0.144887786,0.166994379,0.166287328,0.144654612,0.144828585,0.067950297,0.050153078,0.573837836,0.720877863,0.992647189,0.601349019,0.834288522,0.610768742,0.288438721,0.379351133,TPP,7049
54,0.057255776,0.529945424,0.056426912,0.10313741,0.10951843,0.146813817,0.186967203,0.15630184,0.166791674,0.114370769,0.016098857,0.985455068,0.691021932,0.990922503,0.596688766,0.907873065,0.570022049,0.921725183,0.209042603,EMIS,2481
55,0.052522489,0.419641417,0.093924979,0.101429467,0.257128661,0.182776733,0.161763186,0.133674832,0.087942706,0.055824784,0.019459631,0.989156871,1,0.789188448,0.424196465,0.789497674,0.58047803,0.838541744,0.256619118,TPP,4596
56,0.021320796,0.581551173,0.064588129,0.11249159,0.232513064,0.078316094,0.182949093,0.204089108,0.112022432,0.052841143,0.024777476,0.463762266,0.702648514,0.989346213,0.590176473,0.692828079,0.687116784,0.500304138,0.108162138,EMIS,7836
57,0.07154568,0.52822038,0.051856374,0.19326573,0.137002109,0.108252667,0.147778601,0.1776126,0.136741262,0.054134243,0.045212788,0.909340329,0.799734779,0.962912432,0.550015339,0.902286696,0.55624603,0.7468637,0.325994408,EMIS,7376
58,0.056198686,0.465273609,0.036657358,0.160594978,0.093476271,0.081313594,0.203344347,0.189415309,0.161994898,0.080341148,0.029519455,0.96915344,0.954305027,0.918586788,0.619334154,0.89900938,0.521025502,0.784761118,0.269216793,TPP,3352
60,0.068658797,0.46476753,0.121691053,0.039242703,0.284593695,0.116167998,0.137936714,0.198333521,0.167663313,0.025000547,0.031061508,0.768055165,0.871591766,0.932021534,0.672962156,0.764654334,0.797633207,0.292101619,0.165581142,TPP,2319
61,0.08299489,0.584829844,0.053012868,0.130788638,0.157451137,0.094958224,0.169756981,0.18624082,0.126811391,0.099890673,0.034102136,0.597639282,0.702352157,0.927445673,0.611798655,0.616447192,0.858762061,0.338719646,0.418051892,TPP,5535
62,0.059505591,0.58044356,0.127314435,0.052653931,0.141873177,0.221650822,0.159630927,0.158250555,0.17330087,0.069617864,0.023021853,0.940415142,0.861392087,0.891990499,0.611623912,0.816241161,0.75765206,0.707841898,0.294697583,TPP,4879
64,0.119580967,0.499340788,0.098223624,0.097855167,0.151981427,0.098910793,0.212835118,0.215648628,0.156145037,0.053276922,0.013346908,0.962433198,0.850300766,0.991166153,0.647440483,0.857202425,0.760817545,0.676478059,0.438403671,TPP,6742
68,0.280905992,0.458055549,0.005485462,0.096020515,0.1046574,0.113212483,0.252986797,0.184709292,0.144930078,0.085703337,0.017780098,0.965502947,0.8634682,0.969711982,0.510503154,0.947435561,0.613616932,0.726703435,0.628056318,EMIS,10967
69,0.077707055,0.543061564,0.007711569,0.018031166,0.20065791,0.123418393,0.113959892,0.238862079,0.162375505,0.114195681,0.028499375,1,0.826070749,0.993307976,0.5280144,0.902150754,0.489862334,0.853016788,0.472224559,EMIS,2255
70,0.152963762,0.457906192,0.006805931,0.041475769,0.125993775,0.098762099,0.155191903,0.232428122,0.167350356,0.133017054,0.04578092,0.921283526,0.837193873,0.966724506,0.594611076,0.977918553,0.544706509,0.671699072,0.442969774,EMIS,6385
71,0.054644648,0.437334743,0.029085263,0.07054872,0.088669317,0.09123313,0.216584318,0.196085643,0.179904209,0.122764642,0.03421002,0.969981322,0.654783002,0.942057532,0.508063539,0.853727609,0.454143114,0.518945103,0.187331649,EMIS,4927
72,0.21151612,0.570210208,0.032491485,0.105885318,0.136487711,0.12574251,0.233454076,0.152945417,0.127261075,0.091586012,0.026637881,0.908742087,0.779567751,0.90211087,0.646094133,0.766788556,0.639067368,0.558234201,0.480577725,EMIS,9637
73,0.122590248,0.48258398,0.09058112,0.128859956,0.22050032,0.143931675,0.108714022,0.108138705,0.16876809,0.082384929,0.038702304,0.662208572,0.849825666,0.959568452,0.624327269,0.796924601,0.522303557,0.424210564,0.333487538,EMIS,11025
74,0.12249445,0.506975843,0.0151344,0.08714569,0.094529907,0.064203825,0.232421907,0.156427718,0.214764815,0.10742274,0.043083397,0.770900995,0.864483881,0.955272163,0.630176611,0.878369319,0.684137796,0.321591202,0.450877625,EMIS,8925
75,0.155019243,0.508989862,0.015984925,0.156589983,0.248379273,0.077507338,0.126620909,0.170002238,0.119446693,0.072508021,0.028945546,0.795471818,0.947885139,0.928521245,0.552266524,0.738581922,0.583196142,0.404026537,0.558827635,EMIS,6708
76,0.200977589,0.468933481,0.009447759,0.067322421,0.100917437,0.136125593,0.176160793,0.207628326,0.143007035,0.139065657,0.029772737,0.895541922,0.845849489,0.969252768,0.538444107,0.966653991,0.508007543,0.651444409,0.655058109,EMIS,15950
77,0.040559013,0.490407462,0,0.148800874,0.120562711,0.107242289,0.189705373,0.131225685,0.15681703,0.117334575,0.028311463,0.946294368,0.815638288,0.979980551,0.495750322,0.904821634,0.525367102,0.480423975,0.247904171,EMIS,6696
78,0.06326251,0.455002713,0,0.126030089,0.072839573,0.091333097,0.169023946,0.186611218,0.179049333,0.128169439,0.046943306,1,0.962128964,1,0.554386126,0.950382587,0.521408893,0.709017217,0.37783634,EMIS,4227
79,0.224381631,0.407243137,0.053922669,0.092585465,0.195332551,0.192046698,0.157447306,0.12160244,0.150079992,0.068932463,0.021973084,0.700869892,0.760708358,0.765716645,0.536684986,0.820691242,0.686745343,0.559432681,0.502088935,EMIS,5540
80,0.126041496,0.506699011,0.005879384,0.122262636,0.117656029,0.120119183,0.205465565,0.178578657,0.148512657,0.083212276,0.024192998,0.325233602,0.733906058,0.947207279,0.579665442,0.840795125,0.600213613,0.14895802,0.3473284,EMIS,36371
81,0.257757791,0.512698338,0.01033409,0.154471256,0.114380181,0.159755307,0.201410555,0.165782186,0.125392417,0.059487788,0.01932031,0.864088163,0.802464398,0.97251036,0.543609889,0.965119027,0.553639287,0.73949099,0.602944336,EMIS,12519
82,0.073087256,0.474011087,0.034569825,0.183181277,0.127137824,0.113654771,0.238828412,0.119831415,0.121241375,0.051885041,0.044239886,0.589850029,0.545581366,0.896909384,0.535521247,0.788815571,0.498065411,0.182678442,0.34634769,EMIS,8445
83,0.196901058,0.524831026,0.027103964,0.062538018,0.158433095,0.137948522,0.174881195,0.180231554,0.159502154,0.094777014,0.031688448,0.445457499,0.7753281,0.963103795,0.626420031,0.847924764,0.667764918,0.216767868,0.521201759,EMIS,15250
84,0.186590933,0.573471916,0,0.01844536,0.094676895,0.197207059,0.133198165,0.175476074,0.21205356,0.135095876,0.033847011,0.638806297,0.780542793,0.98869694,0.581279569,0.832936815,0.50837784,0.368548815,0.444569381,EMIS,17144
85,0.073381026,0.524546629,0.040952036,0.099027368,0.057704576,0.136707432,0.21336777,0.141126599,0.198702462,0.122932146,0.030431647,0.911520042,0.701209392,0.93621601,0.54575115,0.85327386,0.46086485,0.36395775,0.297417189,EMIS,5089
86,0.154462767,0.495113423,0.023679144,0.137081914,0.13041234,0.116690681,0.091782612,0.178878618,0.178295739,0.1404145,0.026443595,0.855561101,0.761584841,0.958534736,0.552429974,0.836856985,0.541247512,0.417836297,0.456987857,EMIS,5057
87,0.123113376,0.503497271,0.052394487,0.137611422,0.078859341,0.098897787,0.137831706,0.197788724,0.185614363,0.115552371,0.047844286,0.934265431,0.891188149,0.980527247,0.563961945,0.83120569,0.584604203,0.641191163,0.526236987,EMIS,5682
88,0.243923026,0.416026107,0.018026455,0.140037225,0.17703743,0.147541051,0.171227735,0.136454843,0.135422824,0.06655401,0.025724882,0.876393214,0.896632147,0.914951552,0.551515043,0.890630386,0.537308023,0.848902449,0.580453033,EMIS,10137
89,0.342646585,0.454147754,0,0.023848799,0.126541045,0.160451345,0.199763854,0.197677808,0.126537414,0.113252331,0.051927403,0.76683158,0.728264631,0.933349679,0.591987688,0.840378042,0.60250993,0.447552267,0.661991122,EMIS,17411
90,0.050750897,0.5935101,0,0.07205958,0.095000132,0.07350932,0.2100867,0.213148347,0.214780972,0.080144493,0.041270455,0.808585415,0.905486659,0.9177674,0.527409188,0.853414263,0.548741189,0.535955958,0.420314179,EMIS,10218
91,0.064033141,0.424220215,0,0.028291632,0.123661556,0.114093658,0.155862902,0.229587231,0.189995814,0.093212516,0.065294691,0.827976832,0.826426857,0.975305994,0.565210152,0.918087031,0.601369455,0.474307561,0.417646163,EMIS,8321
92,0.080828886,0.542746977,0.007421672,0.128233886,0.146714657,0.038596847,0.210685498,0.223254711,0.132833673,0.092300564,0.027380165,0.943774062,0.980303049,0.992476092,0.563551687,0.898218431,0.444562665,0.681647877,0.539221595,EMIS,3489
93,0.149219134,0.374736498,0,0.052952199,0.024121909,0.159538094,0.141147155,0.178009875,0.239659103,0.151999812,0.052571853,0.981501373,0.912511862,0.976880111,0.559352221,0.963433852,0.656781183,0.651559578,0.618194104,EMIS,6151
94,0.102935179,0.466482399,0.00600701,0.056144451,0.105631607,0.131167458,0.150345159,0.273023767,0.158539199,0.086208675,0.038939684,0.966884669,0.968582216,0.989369016,0.531113303,0.956123288,0.465812846,0.79721529,0.412731749,EMIS,3029
95,0.102809448,0.430554271,0.017910963,0.032589593,0.129654862,0.197194557,0.206620481,0.164354597,0.153460213,0.105638721,0.010486976,0.865807147,0.858071397,0.988553671,0.630814927,0.87004398,0.617756894,0.364210959,0.525261965,EMIS,13944
96,0.112478229,0.536558198,0,0.1202235,0.182238376,0.094622336,0.194208562,0.141841782,0.141538825,0.080494597,0.044832022,0.856684634,0.721883657,0.955348236,0.525726679,0.934924493,0.587779943,0.543333268,0.288343526,EMIS,8215
97,0.148613252,0.543617971,0,0.110501003,0.074089754,0.119208698,0.11662726,0.172938022,0.22776815,0.137723417,0.041143697,0.917798297,0.910570972,0.941521075,0.616395757,0.890158333,0.430123896,0.364379399,0.471870222,EMIS,6506
98,0.030308701,0.493804039,0,0.122616467,0.099529243,0.138090816,0.134174475,0.190816789,0.136776633,0.135571901,0.042423676,0.493754828,0.812372206,0.92347602,0.527613957,0.823202666,0.694705884,0.132368052,0.240029068,EMIS,14631
99,0.070104082,0.388245553,0.006941458,0.075193461,0.21392334,0.06496146,0.201561236,0.149373594,0.149357955,0.109625101,0.036003852,0.935936472,0.882693526,0.895012893,0.487451914,0.898664914,0.474541922,0.539385369,0.180043385,EMIS,10194
100,0.150909029,0.447474457,0,0.095624181,0.042910475,0.080736118,0.131429777,0.201364173,0.26384799,0.126225029,0.057862257,0.984492797,1,0.985421537,0.618391038,0.937508458,0.621994414,0.534721538,0.552294792,EMIS,4236
101,0.049310448,0.490017537,0,0.072386485,0.082933933,0.133126909,0.19629508,0.227375896,0.15725529,0.089446141,0.041180266,0.96328985,0.959958384,0.971853126,0.482733658,0.903521145,0.490173826,0.738408253,0.211635045,EMIS,4636
102,0.025396083,0.436812956,0.009320801,0.118637767,0.098510194,0.154093612,0.184951247,0.195355506,0.156973522,0.057622792,0.03385536,0.66284287,0.887559231,0.994089086,0.542917214,0.828117503,0.491305212,0.371132976,0.346427626,EMIS,8639
103,0.293776592,0.456837368,0.026431606,0.077414861,0.030754284,0.11200128,0.233891118,0.281650385,0.142287143,0.072265407,0.049735522,0.402702488,0.82238971,1,0.612510948,0.734055973,0.718261573,0.192140696,0.636561724,EMIS,10676
104,0.117874684,0.527911525,0.094678961,0.170112116,0.161812661,0.106448392,0.16314828,0.177320331,0.130323966,0.076046804,0.014787451,0.39551833,0.819345948,0.983911306,0.586871932,0.829388063,0.628453873,0.30158151,0.344969217,EMIS,24003
105,0.132256734,0.458562395,0,0.091321868,0.12892192,0.119438088,0.185896017,0.155867594,0.187038166,0.094280844,0.037235501,0.975650286,0.953735948,0.965288809,0.404115624,0.908948495,0.459269445,0.634593098,0.474547316,EMIS,8766
106,0.039090848,0.474675474,0,0.150212584,0.128884494,0.091898839,0.184929511,0.158790739,0.124112163,0.11365815,0.047513521,0.853602365,0.798281999,0.86175985,0.456962346,0.944711696,0.537724814,0.303292506,0.258820933,EMIS,5675
107,0.099033685,0.474796713,0.035863715,0.106326508,0.157622479,0.106865257,0.165865409,0.16806734,0.188430769,0.076977255,0.029844981,0.237534309,0.881896354,1,0.618031736,0.927147626,0.631147117,0.207961141,0.276972512,EMIS,9230
108,0.068104172,0.498224514,0.007107814,0.053045488,0.192701116,0.118145801,0.172796966,0.191677724,0.142046152,0.104668229,0.024918524,0.903246915,0.811895793,0.984718078,0.568175097,0.878985887,0.535478778,0.488847227,0.195148621,EMIS,6331
109,0.166476269,0.444640341,0.009959764,0.053859648,0.162006189,0.130031173,0.120567437,0.209878024,0.180201341,0.112754519,0.030701669,0.648425962,0.803385427,0.925761236,0.615571972,0.76788198,0.773900852,0.37362577,0.469972397,EMIS,5975
110,0.041295312,0.521515123,0.038073669,0.078702794,0.16122434,0.140238767,0.201548624,0.150245371,0.135978899,0.100337857,0.031723348,0.770153851,0.723949493,1,0.590857365,0.832901105,0.703360129,0.38607442,0.188929542,EMIS,6718
111,0.398275153,0.459201872,0.052080583,0.068981464,0.049316274,0.062084683,0.166244591,0.217302884,0.221695022,0.126422087,0.087952993,0.859783001,0.825794432,0.957030355,0.583931767,0.844137603,0.580273422,0.715170034,0.750610518,EMIS,4929
112,0.1174335,0.447256262,0,0.14699107,0.092178353,0.041658366,0.170462588,0.206327409,0.194372249,0.117715411,0.030294554,0.786391806,0.815088737,0.975955468,0.621376386,0.809628634,0.700845347,0.457801493,0.3652711,EMIS,6815
113,0.169223307,0.463521112,0.044159139,0.04160671,0.201344279,0.127527453,0.199489654,0.151862753,0.125534925,0.118406771,0.034227456,0.896932658,0.804402109,0.987549618,0.606621537,0.792873589,0.551974069,0.428686421,0.429030558,EMIS,4385
114,0.107094471,0.634597451,0.027724206,0.190884816,0.165687388,0.050688439,0.177164317,0.141170174,0.133836961,0.104198846,0.03636906,0.967666772,0.770281437,0.899082852,0.503194807,0.86059446,0.714547084,0.530096802,0.317004693,EMIS,4713
115,0.062461068,0.488222057,0.068552662,0.089966206,0.137689026,0.048700841,0.176610816,0.188949361,0.205226094,0.131327093,0.021530563,0.936202019,0.808985318,0.988168219,0.67665224,0.933471724,0.600383905,0.78379668,0.218223564,EMIS,4952
116,0.093719503,0.460873818,0,0.055269102,0.03678704,0.080301019,0.207626305,0.192170234,0.19279875,0.188503617,0.046543933,0.818242252,0.813950242,0.96549902,0.552183479,0.884279851,0.564745985,0.809296856,0.493825077,EMIS,2973
117,0.187077271,0.467880955,0.010101077,0.106124668,0.224400718,0.048588867,0.167023511,0.162390667,0.117023804,0.130767752,0.043680013,0.909136956,0.733808797,0.938975987,0.619924359,0.846855922,0.579014114,0.726554524,0.579816263,EMIS,4444
